Feature,Classifier,Accuracy,Balanced Accuracy score,F1 micro score,F1 macro score,F1 weighted score,MAE,Confusion matrix
corpus_2018_referral_sites_lvl_three_unweighted_256D,LogisticRegression CV = 10,0.6676056338028169,0.5620897405133244,0.6676056338028169,0.5830733794307731,0.645223714744066,0.3474178403755869,"[[51, 131, 8], [28, 488, 46], [8, 133, 172]]"
corpus_2018_referral_sites_lvl_three_unweighted_256D,GradientBoostingClassifier,0.6676056338028169,0.5800539402922733,0.6676056338028169,0.5975767910916528,0.653291302784688,0.3586854460093897,"[[62, 109, 19], [45, 466, 51], [9, 121, 183]]"
corpus_2018_referral_sites_lvl_three_unweighted_256D,SVC ovo,0.6910798122065728,0.5753213089686458,0.6910798122065728,0.5992764133309492,0.6634869838313546,0.32300469483568073,"[[48, 128, 14], [14, 512, 36], [1, 136, 176]]"
corpus_2018_referral_sites_lvl_three_unweighted_512D,LogisticRegression CV = 5,0.6732394366197183,0.5710929940452646,0.6732394366197183,0.5856239868387151,0.6517563575034878,0.36338028169014086,"[[50, 113, 27], [26, 481, 55], [12, 115, 186]]"
corpus_2018_referral_sites_lvl_three_unweighted_512D,LogisticRegression CV = 10,0.6694835680751173,0.5614619730115028,0.6694835680751173,0.5778420485017183,0.6450714040340263,0.3586854460093897,"[[47, 121, 22], [25, 488, 49], [8, 127, 178]]"
corpus_2018_referral_sites_lvl_three_unweighted_512D,GradientBoostingClassifier,0.6788732394366197,0.5776269861834101,0.6788732394366197,0.5960059830905552,0.6584786864685371,0.3530516431924883,"[[55, 112, 23], [28, 488, 46], [11, 122, 180]]"
corpus_2018_referral_sites_lvl_three_unweighted_512D,SVC ovo,0.6863849765258216,0.5667669594665892,0.6863849765258216,0.5884308561766783,0.6565108623227163,0.3276995305164319,"[[44, 133, 13], [14, 513, 35], [2, 137, 174]]"
corpus_2018_referral_sites_lvl_three_unweighted_64D,LogisticRegression CV = 5,0.6582159624413145,0.5283956882074775,0.6582159624413145,0.544655405098509,0.6201609037824716,0.3483568075117371,"[[34, 152, 4], [8, 512, 42], [3, 155, 155]]"
corpus_2018_referral_sites_lvl_three_unweighted_64D,LogisticRegression CV = 10,0.6572769953051644,0.5359314314802504,0.6572769953051644,0.5565143678820441,0.6253442488460458,0.3483568075117371,"[[41, 147, 2], [16, 504, 42], [4, 154, 155]]"
corpus_2018_referral_sites_lvl_three_unweighted_64D,GradientBoostingClassifier,0.6676056338028169,0.5733039236865144,0.6676056338028169,0.5894956615376205,0.6499222772833483,0.36807511737089205,"[[57, 110, 23], [30, 473, 59], [15, 117, 181]]"
